trip_id;trip_start_utc;driver_id;vehicle_id;pickup_zone;dropoff_zone;distance_km;duration_min;fare_amount;payment;platform;surge_multiplier
T33002201;2026-03-16T09:10:00+03:00;DR-1034;VH-038;West;Suburbs;9.43;40.9;25.7;Card;RideGo;1.0
T33002202;2026-06-26T16:11:00+03:00;DR-1047;VH-016;West;West;11.95;55.4;58.77;card;RideGo;1.8
T33002203;2026-05-10T09:50:00+03:00;DR-1012;VH-013;West;Centre;2.5;16.8;10.98;Card;RideGo;1.0
T33002204;2026-03-16T01:44:00+03:00;DR-1042;VH-003;North;North;10.19;38.5;25.9;Card;RideGo;1.0
T33002205;2026-04-06T15:53:00+03:00;DR-1033;VH-010;Port;West;3.67;14.5;11.68;CASH;RideGo;1.0
T33002206;2026-06-25T15:52:00+03:00;DR-1010;VH-031;Suburbs;Airport;4.08;13.9;17.97;CASH;Direct;1.5
T33002207;2026-05-10T22:13:00+03:00;DR-1031;VH-002;West;East;4.81;20.6;17.64;wallet;RideGo;1.2
T33002208;2026-01-11T01:56:00+03:00;DR-1039;VH-007;East;Airport;12.26;55.2;59.33;CASH;CityHail;1.8
T33002209;2026-04-05T23:49:00+03:00;DR-1011;VH-037;Suburbs;Port;5.21;26.0;16.67;card;RideGo;1.0
T33002210;2026-01-04T14:46:00+03:00;DR-1032;VH-035;Airport;West;9.22;28.6;22.01;CASH;RideGo;1.0
T33002211;2026-03-24T06:33:00+03:00;DR-1041;VH-032;Centre;Centre;6.25;24.9;17.56;wallet;CityHail;1.0
T33002212;2026-05-21T18:22:00+03:00;DR-1062;VH-020;West;Suburbs;3.86;19.6;23.99;cash;CityHail;1.8
T33002213;2026-04-30T09:20:00+03:00;DR-1039;VH-023;Airport;Port;12.26;42.4;35.24;cash;RideGo;1.2
T33002214;2026-05-18T22:46:00+03:00;DR-1023;VH-016;Centre;Centre;4.95;15.7;13.49;card;Direct;1.0
T33002215;2026-05-08T07:53:00+03:00;DR-1053;VH-004;East;West;10.79;31.3;36.86;CASH;RideGo;1.5
T33002216;2026-04-21T23:43:00+03:00;DR-1043;VH-028;East;North;6.68;25.6;21.9;wallet;RideGo;1.2
T33002217;2026-04-03T00:10:00+03:00;DR-1013;VH-036;East;East;1.92;11.1;8.72;wallet;CityHail;1.0
T33002218;2026-01-20T08:01:00+03:00;DR-1065;VH-030;West;West;5.0;25.5;19.55;CASH;CityHail;1.2
T33002219;2026-01-19T22:11:00+03:00;DR-1064;VH-037;Airport;Suburbs;14.8;40.7;31.82;CASH;RideGo;1.0
T33002220;2026-04-11T10:30:00+03:00;DR-1065;VH-039;Port;Centre;3.95;19.0;13.26;CASH;Direct;1.0
T33002221;2026-04-02T11:44:00+03:00;DR-1059;VH-033;North;North;8.37;31.6;21.87;CASH;RideGo;1.0
T33002222;2026-05-09T03:53:00+03:00;DR-1009;VH-003;West;West;4.32;22.4;17.57;cash;CityHail;1.2
T33002223;2026-01-09T14:47:00+03:00;DR-1067;VH-027;Port;East;2.92;12.8;15.51;Card;CityHail;1.5
T33002224;2026-04-04T04:29:00+03:00;DR-1008;VH-033;Suburbs;North;3.7;19.3;19.59;card;CityHail;1.5
T33002225;2026-03-17T18:48:00+03:00;DR-1064;VH-027;North;Centre;1.86;10.9;8.59;CASH;RideGo;1.0
T33002226;2026-01-13T10:39:00+03:00;DR-1011;VH-006;East;West;8.53;36.9;35.31;wallet;Direct;1.5
T33002227;2026-02-18T19:55:00+03:00;DR-1061;VH-024;Centre;East;4.08;15.4;12.4;CASH;RideGo;1.0
T33002228;2026-02-25T20:38:00+03:00;DR-1021;VH-032;Centre;Port;13.16;42.3;54.68;card;RideGo;1.8
T33002229;2026-02-12T12:20:00+03:00;DR-1035;VH-010;North;Port;7.64;33.9;26.02;cash;RideGo;1.2
T33002230;2026-04-05T01:10:00+03:00;DR-1026;VH-013;Centre;West;5.54;18.9;22.59;CASH;Direct;1.5
T33002231;2026-02-15T19:25:00+03:00;DR-1037;VH-031;Centre;North;4.32;13.9;18.39;cash;CityHail;1.5
T33002232;2026-02-06T04:31:00+03:00;DR-1025;VH-032;Suburbs;East;6.45;29.0;18.94;Card;CityHail;1.0
T33002233;2026-01-19T01:14:00+03:00;DR-1013;VH-016;Centre;North;13.15;49.8;48.7;card;Direct;1.5
T33002234;2026-03-11T13:55:00+03:00;DR-1037;VH-011;West;Suburbs;9.18;39.0;37.32;card;RideGo;1.5
T33002235;2026-03-13T05:01:00+03:00;DR-1056;VH-041;North;Suburbs;3.62;14.3;11.57;cash;CityHail;1.0
T33002236;2026-03-24T03:26:00+03:00;DR-1017;VH-024;North;West;5.34;29.6;21.4;CASH;RideGo;1.2
T33002237;2026-02-04T12:33:00+03:00;DR-1056;VH-019;Port;West;3.3;14.7;16.96;card;RideGo;1.5
T33002238;2026-03-07T21:28:00+03:00;DR-1005;VH-034;North;Port;3.68;16.5;18.38;wallet;CityHail;1.5
T33002239;2026-06-19T00:58:00+03:00;DR-1003;VH-016;East;Port;7.04;26.0;33.8;CASH;CityHail;1.8
T33002240;2026-04-15T18:59:00+03:00;DR-1019;VH-041;Centre;Suburbs;7.02;24.3;18.28;wallet;Direct;1.0
T33002241;2026-05-15T15:06:00+03:00;DR-1045;VH-013;Centre;Airport;6.74;27.7;34.04;Card;RideGo;1.8
T33002242;2026-01-25T06:04:00+03:00;DR-1026;VH-007;West;Suburbs;8.27;25.4;20.02;CASH;RideGo;1.0
T33002243;2026-03-17T10:19:00+03:00;DR-1033;VH-021;Suburbs;Port;5.84;25.6;17.28;Card;CityHail;1.0
T33002244;2026-05-07T15:27:00+03:00;DR-1057;VH-019;West;-;1.16;9.1;8.74;wallet;CityHail;1.2
T33002245;2026-02-16T06:13:00+03:00;DR-1067;VH-042;East;West;9.1;40.8;25.29;Card;CityHail;1.0
T33002246;2026-04-22T16:17:00+03:00;DR-1007;VH-016;North;Airport;21.71;76.3;89.51;card;RideGo;1.8
T33002247;2026-01-08T17:32:00+03:00;DR-1064;VH-009;East;Suburbs;1.6;9.0;13.97;wallet;RideGo;1.8
T33002248;2026-04-06T16:01:00+03:00;DR-1063;VH-012;West;Suburbs;1.64;11.3;10.14;cash;Direct;1.2
T33002249;2026-05-04T09:57:00+03:00;DR-1008;VH-039;Port;Centre;7.42;35.8;21.96;wallet;Direct;1.0
T33002250;2026-05-05T17:13:00+03:00;DR-1043;VH-031;East;Airport;6.7;25.9;18.36;wallet;Direct;1.0
T33002251;2026-01-21T09:50:00+03:00;DR-1023;VH-039;West;Airport;8.44;43.2;25.2;card;CityHail;1.0
T33002252;2026-04-03T22:56:00+03:00;DR-1038;VH-014;Airport;Suburbs;6.0;24.8;17.24;CASH;RideGo;1.0
T33002253;2026-04-24T13:31:00+03:00;DR-1023;VH-032;East;Suburbs;3.17;14.9;11.22;cash;RideGo;1.0
T33002254;2026-06-23T10:59:00+03:00;DR-1008;VH-030;Suburbs;North;4.36;20.6;21.27;CASH;Direct;1.5
T33002255;2026-02-06T11:07:00+03:00;DR-1027;VH-020;Port;Suburbs;5.83;18.5;27.5;Card;CityHail;1.8
T33002256;2026-05-13T05:04:00+03:00;DR-1022;VH-017;Suburbs;Port;5.74;28.9;18.09;card;CityHail;1.0
T33002257;2026-05-03T17:24:00+03:00;DR-1019;VH-028;Airport;Port;6.41;29.0;18.89;card;Direct;1.0
T33002258;2026-06-24T15:54:00+03:00;DR-1045;VH-042;Airport;Port;5.72;29.5;21.89;cash;RideGo;1.2
T33002259;2026-02-12T12:19:00+03:00;DR-1002;VH-028;Centre;Airport;5.66;22.8;19.55;wallet;RideGo;1.2
T33002260;2026-05-18T15:17:00+03:00;DR-1039;VH-014;West;North;6.18;28.9;18.6;cash;CityHail;1.0
T33002261;2026-05-30T20:53:00+03:00;DR-1056;VH-027;West;North;7.94;24.1;19.28;card;RideGo;1.0
T33002262;2026-06-22T05:04:00+03:00;DR-1039;VH-040;Airport;West;3.02;13.7;16.07;cash;Direct;1.5
T33002263;2026-02-25T09:29:00+03:00;DR-1065;VH-003;East;Suburbs;5.23;29.2;17.59;cash;Direct;1.0
T33002264;2026-03-25T13:33:00+03:00;DR-1002;VH-016;Airport;Suburbs;8.81;24.5;20.39;wallet;CityHail;1.0
T33002265;2026-01-18T08:15:00+03:00;DR-1036;VH-010;East;Suburbs;19.98;63.2;44.07;card;Direct;1.0
T33002266;2026-06-11T01:01:00+03:00;DR-1025;VH-009;East;North;8.36;39.2;35.98;cash;Direct;1.5
T33002267;2026-06-11T10:45:00+03:00;DR-1031;VH-029;Centre;East;6.03;29.2;22.21;card;Direct;1.2
T33002268;2026-05-04T13:59:00+03:00;DR-1016;VH-018;Port;West;3.54;18.4;18.93;card;CityHail;1.5
T33002269;2026-04-18T07:44:00+03:00;DR-1067;VH-002;Suburbs;East;11.12;42.1;50.36;Card;Direct;1.8
T33002270;2026-01-13T23:08:00+03:00;DR-1057;VH-012;Airport;West;11.72;41.2;51.14;card;RideGo;1.8
T33002271;2026-03-23T08:20:00+03:00;DR-1042;VH-009;Centre;North;5.29;18.3;26.3;wallet;CityHail;1.8
T33002272;2026-02-06T23:11:00+03:00;DR-1033;VH-015;Suburbs;Centre;4.43;21.0;25.87;card;RideGo;1.8
T33002273;2026-05-06T18:46:00+03:00;DR-1054;VH-016;Port;West;12.32;33.2;32.23;cash;RideGo;1.2
T33002274;2026-01-24T01:52:00+03:00;DR-1038;VH-019;North;North;10.56;30.9;24.2;wallet;RideGo;1.0
T33002275;2026-03-20T16:13:00+03:00;DR-1067;VH-007;Suburbs;North;5.76;27.1;17.61;wallet;CityHail;1.0
T33002276;2026-04-07T09:09:00+03:00;DR-1030;VH-009;Centre;Airport;4.92;15.8;20.22;card;CityHail;1.5
T33002277;2026-02-09T23:32:00+03:00;DR-1054;VH-013;Centre;Suburbs;16.2;65.9;40.48;cash;RideGo;1.0
T33002278;2026-06-21T01:29:00+03:00;DR-1027;VH-031;West;North;4.04;22.6;14.37;Card;Direct;1.0
T33002279;2026-05-02T12:33:00+03:00;DR-1062;VH-004;Airport;Port;7.84;36.9;22.75;card;Direct;1.0
T33002280;2026-01-26T18:36:00+03:00;DR-1033;VH-029;West;Airport;14.79;63.4;45.79;wallet;RideGo;1.2
T33002281;2026-04-21T18:09:00+03:00;DR-1061;VH-015;Centre;Centre;8.4;42.1;37.28;cash;RideGo;1.5
T33002282;2026-05-07T01:33:00+03:00;DR-1010;VH-031;North;North;0.72;3.4;5.18;wallet;CityHail;1.0
T33002283;2026-02-04T22:49:00+03:00;DR-1052;VH-042;Airport;East;2.24;9.9;15.75;wallet;CityHail;1.8
T33002284;2026-03-21T11:40:00+03:00;DR-1042;VH-030;East;West;1.81;12.0;8.84;Card;CityHail;1.0
T33002285;2026-03-07T15:45:00+03:00;DR-1012;VH-036;Airport;Port;4.56;22.4;17.9;card;RideGo;1.2
T33002286;2026-02-25T21:20:00+03:00;DR-1001;VH-021;Centre;North;9.44;42.4;39.2;CASH;RideGo;1.5
T33002287;2026-02-19T00:18:00+03:00;DR-1039;VH-035;East;East;2.79;10.7;9.6;CASH;CityHail;1.0
T33002288;2026-02-12T05:00:00+03:00;DR-1035;VH-013;Airport;West;5.33;19.2;22.36;CASH;RideGo;1.5
T33002289;2026-05-27T18:06:00+03:00;DR-1017;VH-024;Centre;East;3.7;15.4;11.97;CASH;CityHail;1.0
T33002290;2026-02-21T13:52:00+03:00;DR-1047;VH-020;West;Port;1.79;8.5;7.84;card;CityHail;1.0
T33002291;2026-04-28T18:54:00+03:00;DR-1014;VH-011;East;West;2.02;7.5;7.82;cash;CityHail;1.0
T33002292;2026-04-07T01:35:00+03:00;DR-1068;VH-007;Centre;Port;8.4;24.8;24.0;Card;RideGo;1.2
T33002293;2026-03-27T20:44:00+03:00;DR-1005;VH-016;West;North;5.15;22.4;28.06;Card;Direct;1.8
T33002294;2026-04-13T11:37:00+03:00;DR-1056;VH-028;Centre;East;5.56;22.7;19.38;card;Direct;1.2
T33002295;2026-05-11T20:08:00+03:00;DR-1057;VH-032;Port;Port;2.08;11.4;8.98;cash;RideGo;1.0
T33002296;2026-02-28T16:46:00+03:00;DR-1027;VH-016;Suburbs;Port;14.73;50.8;51.84;wallet;RideGo;1.5
T33002297;2026-01-28T20:58:00+03:00;DR-1029;VH-015;Centre;West;6.14;29.0;18.58;Card;CityHail;1.0
T33002298;2026-06-28T16:02:00+03:00;DR-1052;VH-023;Port;Airport;3.43;14.9;11.52;Card;CityHail;1.0
T33002299;2026-02-15T14:04:00+03:00;DR-1017;VH-021;Centre;Port;13.36;37.2;52.52;cash;RideGo;1.8
T33002300;2026-06-21T09:06:00+03:00;DR-1068;VH-028;Suburbs;Centre;13.35;53.3;60.62;cash;RideGo;1.8
T33002301;2026-04-23T23:25:00+03:00;DR-1040;VH-004;Port;East;32.69;83.1;64.26;CASH;RideGo;1.0
T33002302;2026-04-27T03:30:00+03:00;DR-1044;VH-035;Airport;North;5.78;24.3;16.85;wallet;Direct;1.0
T33002303;2026-03-25T03:27:00+03:00;DR-1052;VH-028;Airport;North;10.04;47.1;28.13;cash;RideGo;1.0
T33002304;2026-03-22T04:46:00+03:00;DR-1046;VH-010;Suburbs;Suburbs;3.47;18.3;22.52;card;CityHail;1.8
T33002305;2026-05-07T14:13:00+03:00;DR-1041;VH-025;Airport;West;4.43;16.8;13.2;wallet;Direct;1.0
T33002306;2026-06-10T14:01:00+03:00;DR-1033;VH-038;Port;-;3.28;13.7;11.01;Card;RideGo;1.0
T33002307;2026-03-12T19:55:00+03:00;DR-1033;VH-015;West;East;5.93;19.8;18.91;wallet;CityHail;1.2
T33002308;2026-04-27T03:18:00+03:00;DR-1023;VH-021;Suburbs;Suburbs;1.9;8.3;11.86;wallet;CityHail;1.5
T33002309;2026-06-18T08:21:00+03:00;DR-1038;VH-038;North;North;3.76;17.1;18.76;card;RideGo;1.5
T33002310;2026-03-02T06:52:00+03:00;DR-1051;VH-002;Suburbs;Port;18.57;76.2;55.31;card;RideGo;1.2
T33002311;2026-03-05T09:51:00+03:00;DR-1035;VH-005;West;North;2.43;9.1;10.49;cash;Direct;1.2
T33002312;2026-04-27T10:18:00+03:00;DR-1067;VH-007;West;Airport;19.55;71.1;45.79;Card;RideGo;1.0
T33002313;2026-01-29T18:16:00+03:00;DR-1046;VH-008;Suburbs;East;8.3;42.0;24.7;wallet;RideGo;1.0
T33002314;2026-06-13T16:00:00+03:00;DR-1022;VH-021;Centre;West;5.02;14.4;19.8;cash;Direct;1.5
T33002315;2026-04-01T12:14:00+03:00;DR-9315;VH-015;East;Port;2.6;13.1;18.11;Card;CityHail;1.8
T33002316;2026-04-24T21:29:00+03:00;DR-1042;VH-009;West;Port;6.78;29.4;23.32;CASH;RideGo;1.2
T33002317;2026-02-15T04:21:00+03:00;DR-1005;VH-022;Suburbs;Centre;3.53;18.9;19.12;Card;RideGo;1.5
T33002318;2026-04-20T09:42:00+03:00;DR-1018;VH-014;Centre;Centre;4.36;15.8;12.84;Card;CityHail;1.0
T33002319;2026-06-21T02:13:00+03:00;DR-1006;VH-021;Suburbs;Port;2.17;10.7;13.34;wallet;RideGo;1.5
T33002320;2026-05-12T10:34:00+03:00;DR-1068;VH-022;Centre;Centre;3.69;17.8;18.94;cash;RideGo;1.5
T33002321;2026-05-19T23:14:00+03:00;DR-1033;VH-020;North;Suburbs;7.41;29.3;36.23;cash;RideGo;1.8
T33002322;2026-02-05T23:55:00+03:00;DR-1013;VH-012;North;Centre;2.05;11.5;8.98;wallet;RideGo;1.0
T33002323;2026-06-28T10:08:00+03:00;DR-1042;VH-039;Centre;North;5.21;19.1;26.53;cash;CityHail;1.8
T33002324;2026-05-04T10:20:00+03:00;DR-1033;VH-022;West;Port;3.26;14.2;11.12;card;RideGo;1.0
T33002325;2026-04-26T08:35:00+03:00;DR-1036;VH-019;Centre;Suburbs;7.2;22.5;17.98;cash;CityHail;1.0
T33002326;2026-01-29T12:27:00+03:00;DR-1001;VH-022;Suburbs;Airport;14.89;41.1;32.03;CASH;RideGo;1.0
T33002327;2026-03-26T20:08:00+03:00;DR-1032;VH-042;East;West;6.24;17.3;15.42;Card;RideGo;1.0
T33002328;2026-03-03T16:09:00+03:00;DR-1068;VH-015;Centre;Suburbs;1.45;8.7;7.5;card;RideGo;1.0
T33002329;2026-03-22T04:29:00+03:00;DR-1013;VH-033;North;Airport;2.57;10.3;9.24;wallet;CityHail;1.0
T33002330;2026-01-03T02:42:00+03:00;DR-1002;VH-033;Port;Centre;4.45;23.9;18.25;cash;CityHail;1.2
T33002331;2026-05-18T07:02:00+03:00;DR-1036;VH-021;Airport;Centre;6.31;25.6;17.82;card;Direct;1.0
T33002332;2026-03-13T02:24:00+03:00;DR-1025;VH-026;West;Centre;3.66;16.7;12.28;cash;CityHail;1.0
T33002333;2026-03-17T23:41:00+03:00;DR-1024;VH-029;North;Port;7.17;29.4;19.88;card;RideGo;1.0
T33002334;2026-04-30T09:51:00+03:00;DR-1025;VH-006;West;Port;5.7;24.5;16.82;cash;RideGo;1.0
T33002335;2026-04-25T10:43:00+03:00;DR-1057;VH-023;Suburbs;East;7.3;25.8;22.82;cash;RideGo;1.2
T33002336;2026-02-27T07:54:00+03:00;DR-1002;VH-033;Airport;Centre;21.38;84.0;51.51;wallet;RideGo;1.0
T33002337;2026-03-26T05:06:00+03:00;DR-1007;VH-037;Airport;Airport;2.56;14.0;10.26;card;CityHail;1.0
T33002338;2026-06-01T22:11:00+03:00;DR-1058;VH-030;West;East;2.68;16.1;13.19;wallet;Direct;1.2
T33002339;2026-03-18T02:35:00+03:00;DR-1029;VH-041;Centre;East;1.35;6.8;8.23;card;CityHail;1.2
T33002340;2026-06-22T08:27:00+03:00;DR-1048;VH-026;Suburbs;Airport;1.54;10.3;12.09;Card;Direct;1.5
T33002341;2026-03-31T04:58:00+03:00;DR-1010;VH-001;North;East;3.52;21.1;20.04;Card;CityHail;1.5
T33002342;2026-03-21T08:14:00+03:00;DR-1025;VH-029;Centre;Suburbs;6.68;22.1;25.9;wallet;Direct;1.5
T33002343;2026-03-17T12:34:00+03:00;DR-1039;VH-015;West;Centre;10.6;38.5;47.47;cash;CityHail;1.8
T33002344;2026-06-13T01:11:00+03:00;DR-1037;VH-009;West;Centre;4.52;24.2;15.37;Card;Direct;1.0
T33002345;2026-04-12T15:48:00+03:00;DR-1054;VH-003;Port;Suburbs;8.97;31.4;22.51;cash;RideGo;1.0
T33002346;2026-02-15T23:20:00+03:00;DR-1064;VH-039;Centre;Port;4.77;13.3;18.92;card;Direct;1.5
T33002347;2026-02-21T18:50:00+03:00;DR-1035;VH-035;Port;Suburbs;4.03;13.8;17.85;Card;RideGo;1.5
T33002348;2026-03-30T01:20:00+03:00;DR-1045;VH-027;North;North;4.16;21.4;21.27;CASH;RideGo;1.5
T33002349;2026-03-28T03:28:00+03:00;DR-1018;VH-024;Port;North;9.95;27.8;27.16;Card;RideGo;1.2
T33002350;2026-04-24T03:28:00+03:00;DR-1009;VH-026;North;North;5.89;27.1;26.64;card;RideGo;1.5
T33002351;2026-04-23T23:40:00+03:00;DR-1041;VH-013;West;Port;3.6;17.3;14.86;Card;CityHail;1.2
T33002352;2026-05-19T18:47:00+03:00;DR-1052;VH-006;East;Centre;1.86;10.5;12.72;wallet;CityHail;1.5
T33002353;2026-05-17T05:46:00+03:00;DR-1049;VH-013;Airport;Suburbs;4.95;21.9;15.22;card;Direct;1.0
T33002354;2026-03-06T04:13:00+03:00;DR-1067;VH-013;Centre;Port;10.47;36.6;30.83;card;RideGo;1.2
T33002355;2026-04-22T17:34:00+03:00;DR-1066;VH-023;North;East;4.6;18.1;13.76;Card;RideGo;1.0
T33002356;2026-04-28T08:47:00+03:00;DR-1011;VH-033;Centre;North;3.77;16.2;18.4;Card;Direct;1.5
T33002357;2026-04-20T02:35:00+03:00;DR-1035;VH-025;Suburbs;East;4.16;15.3;12.47;card;CityHail;1.0
T33002358;2026-04-22T05:29:00+03:00;DR-1023;VH-007;Airport;East;14.17;45.9;32.55;CASH;RideGo;1.0
T33002359;2026-04-21T00:48:00+03:00;DR-1037;VH-025;North;West;23.21;103.8;88.74;Card;RideGo;1.5
T33002360;2026-01-28T17:49:00+03:00;DR-1025;VH-018;Port;North;1.6;7.7;7.4;Card;CityHail;1.0
T33002361;2026-06-19T22:29:00+03:00;DR-1058;VH-017;Suburbs;East;1.94;12.3;9.08;Card;RideGo;1.0
T33002362;2026-01-06T04:41:00+03:00;DR-1046;VH-030;Airport;West;3.59;12.5;13.24;CASH;RideGo;1.2
T33002363;2026-01-15T07:42:00+03:00;DR-1050;VH-030;Suburbs;Port;11.19;49.9;45.36;Card;RideGo;1.5
T33002364;2026-01-07T11:43:00+03:00;DR-1049;VH-003;West;East;7.08;34.3;31.72;card;RideGo;1.5
T33002365;2026-04-03T12:30:00+03:00;DR-1002;VH-037;West;North;7.87;40.7;42.93;wallet;CityHail;1.8
T33002366;2026-03-06T20:23:00+03:00;DR-1045;VH-003;Airport;North;5.4;23.6;24.33;cash;RideGo;1.5
T33002367;2026-01-13T09:23:00+03:00;DR-1041;VH-030;Suburbs;North;7.19;36.9;33.0;cash;Direct;1.5
T33002368;2026-06-29T19:48:00+03:00;DR-1019;VH-027;Port;Centre;7.73;33.5;32.51;wallet;CityHail;1.5
T33002369;2026-01-07T14:22:00+03:00;DR-1067;VH-042;Port;Suburbs;7.44;26.1;19.26;cash;Direct;1.0
T33002370;2026-01-14T21:15:00+03:00;DR-1057;VH-028;Centre;Centre;3.05;11.8;10.21;cash;RideGo;1.0
T33002371;2026-06-23T18:25:00+03:00;DR-1063;VH-029;West;North;8.46;31.0;26.17;cash;RideGo;1.2
T33002372;2026-03-18T13:20:00+03:00;DR-1055;VH-042;Suburbs;East;3.45;15.2;11.62;Card;CityHail;1.0
T33002373;2026-03-19T02:39:00+03:00;DR-1053;VH-011;Port;Centre;2.76;12.0;11.92;wallet;RideGo;1.2
T33002374;2026-05-15T07:45:00+03:00;DR-1027;VH-036;North;Port;5.23;21.1;22.98;Card;RideGo;1.5
T33002375;2026-02-28T00:39:00+03:00;DR-1046;VH-016;Airport;Port;3.5;20.1;13.05;Card;CityHail;1.0
T33002376;2026-05-24T19:59:00+03:00;DR-1035;VH-007;North;West;5.96;22.3;29.7;cash;CityHail;1.8
T33002377;2026-02-13T05:15:00+03:00;DR-1025;VH-011;Airport;Suburbs;2.57;8.3;15.62;CASH;RideGo;1.8
T33002378;2026-01-07T04:00:00+03:00;DR-1068;VH-033;Centre;Suburbs;3.79;11.9;16.63;cash;CityHail;1.5
T33002379;2026-03-30T08:27:00+03:00;DR-1060;VH-025;North;Suburbs;5.9;26.2;21.02;CASH;RideGo;1.2
T33002380;2026-01-24T11:55:00+03:00;DR-1060;VH-006;North;West;8.8;26.0;24.96;CASH;RideGo;1.2
T33002381;2026-01-03T02:59:00+03:00;DR-1026;VH-007;East;Airport;2.63;12.0;14.67;Card;RideGo;1.5
T33002382;2026-05-22T19:37:00+03:00;DR-1062;VH-014;North;North;9.46;35.1;24.11;card;RideGo;1.0
T33002383;2026-06-13T22:20:00+03:00;DR-1065;VH-021;Port;East;3.84;14.2;11.79;cash;CityHail;1.0
T33002384;2026-02-10T04:57:00+03:00;DR-1034;VH-007;West;Airport;4.35;16.9;23.63;card;CityHail;1.8
T33002385;2026-05-30T22:30:00+03:00;DR-1038;VH-003;Suburbs;West;3.37;14.0;20.16;cash;RideGo;1.8
T33002386;2026-02-23T19:33:00+03:00;DR-1044;VH-027;East;West;13.25;57.6;34.77;Card;RideGo;1.0
T33002387;2026-04-19T20:55:00+03:00;DR-1006;VH-021;East;East;8.86;43.3;25.71;Card;RideGo;1.0
T33002388;2026-03-18T20:11:00+03:00;DR-1048;VH-013;West;West;8.16;36.3;41.31;Card;CityHail;1.8
T33002389;2026-05-14T18:21:00+03:00;DR-1051;VH-002;East;North;5.44;25.6;20.18;card;CityHail;1.2
T33002390;2026-06-24T12:17:00+03:00;DR-1037;VH-023;Suburbs;Centre;15.6;66.7;40.02;Card;Direct;1.0
T33002391;2026-02-14T04:12:00+03:00;DR-1060;VH-016;Port;Centre;4.78;19.8;21.66;cash;CityHail;1.5
T33002392;2026-03-30T21:27:00+03:00;DR-1007;VH-030;Suburbs;Airport;8.65;37.0;35.56;cash;RideGo;1.5
T33002393;2026-05-13T13:32:00+03:00;DR-1008;VH-016;Suburbs;Port;3.36;14.7;17.07;cash;Direct;1.5
T33002394;2026-05-01T20:31:00+03:00;DR-1064;VH-019;Port;Centre;1.46;8.0;13.18;Card;CityHail;1.8
T33002395;2026-04-14T01:30:00+03:00;DR-1042;VH-002;West;East;9.03;36.6;43.25;Card;RideGo;1.8
T33002396;2026-01-09T09:34:00+03:00;DR-1039;VH-037;East;Suburbs;8.51;32.3;40.01;CASH;RideGo;1.8
T33002397;2026-06-14T07:38:00+03:00;DR-1067;VH-041;North;Suburbs;13.31;44.1;37.26;CASH;Direct;1.2
T33002398;2026-03-17T09:10:00+03:00;DR-1025;VH-024;West;Centre;6.96;26.0;18.68;card;RideGo;1.0
T33002399;2026-03-14T19:38:00+03:00;DR-1056;VH-004;Suburbs;Airport;1.74;8.7;9.41;wallet;CityHail;1.2
T33002400;2026-06-08T17:14:00+03:00;DR-1056;VH-021;East;East;12.17;49.6;56.3;cash;RideGo;1.8
T33002401;2026-06-05T16:04:00+03:00;DR-1011;VH-015;North;East;8.29;32.0;21.89;card;CityHail;1.0
T33002402;2026-03-24T01:14:00+03:00;DR-1067;VH-030;Suburbs;North;11.52;43.0;28.69;cash;Direct;1.0
T33002403;2026-02-28T19:38:00+03:00;DR-1008;VH-015;Airport;Centre;4.09;17.7;13.06;card;CityHail;1.0
T33002404;2026-02-24T12:55:00+03:00;DR-1062;VH-001;Airport;Centre;4.61;23.3;27.41;wallet;RideGo;1.8
T33002405;2026-01-07T21:13:00+03:00;DR-1024;VH-027;Centre;-;8.46;42.2;37.42;cash;CityHail;1.5
T33002406;2026-01-28T08:45:00+03:00;DR-1062;VH-011;Airport;North;5.31;23.1;15.97;card;RideGo;1.0
T33002407;2026-02-26T03:30:00+03:00;DR-1065;VH-025;Port;North;1.62;11.3;8.43;Card;RideGo;1.0
T33002408;2026-03-23T22:58:00+03:00;DR-1010;VH-012;East;Airport;19.04;80.0;47.7;card;RideGo;1.0
T33002409;2026-02-22T15:31:00+03:00;DR-1059;VH-013;West;North;7.28;26.4;34.49;wallet;RideGo;1.8
T33002410;2026-01-03T00:27:00+03:00;DR-1022;VH-016;West;Centre;12.59;34.7;27.59;CASH;RideGo;1.0
T33002411;2026-06-20T08:00:00+03:00;DR-1023;VH-029;Airport;Airport;2.13;7.6;11.97;wallet;RideGo;1.5
T33002412;2026-03-01T21:57:00+03:00;DR-1006;VH-017;Centre;Port;4.67;21.4;14.76;card;Direct;1.0
T33002413;2026-02-08T09:43:00+03:00;DR-1035;VH-006;North;Centre;2.69;8.5;10.64;card;CityHail;1.2
T33002414;2026-06-24T02:18:00+03:00;DR-1035;VH-028;West;North;1.76;8.9;9.5;wallet;CityHail;1.2
T33002415;2026-03-19T04:00:00+03:00;DR-1062;VH-009;Airport;East;5.16;25.0;29.39;wallet;Direct;1.8
T33002416;2026-06-19T07:03:00+03:00;DR-1012;VH-031;East;East;8.73;22.8;35.68;cash;CityHail;1.8
T33002417;2026-06-12T08:16:00+03:00;DR-1019;VH-028;Airport;Suburbs;1.31;7.6;7.03;wallet;RideGo;1.0
T33002418;2026-04-13T14:53:00+03:00;DR-1043;VH-029;Suburbs;East;4.95;22.9;27.9;wallet;Direct;1.8
T33002419;2026-01-28T12:16:00+03:00;DR-1052;VH-016;Centre;Centre;1.55;5.7;6.78;cash;CityHail;1.0
